Timestamp,District,Hour,DayOfWeek,Latency_ms,PacketLoss_Percent,MPLS_Bandwidth_Usage_Percent,Temperature_C,Status
2026-07-08 12:37:35,السدة,12,2,40.4,0.74,57.99,30.9,طبيعي
2026-07-08 12:40:37,المخادر,12,2,29.39,0.93,26.59,29.3,طبيعي
2026-07-08 12:44:13,فرع العدين,12,2,28.33,1.16,43.77,26.9,طبيعي
2026-07-08 12:56:26,المخادر,12,2,19.68,0.02,21.47,26.4,طبيعي
2026-07-08 12:56:40,السبرة,12,2,46.96,0.7,50.0,29.2,طبيعي
2026-07-08 13:21:12,يريم,13,2,30.77,0.15,29.89,31.1,طبيعي
2026-07-08 14:05:41,المخادر,14,2,41.49,0.06,55.13,27.2,طبيعي
2026-07-08 14:08:14,بعدان,14,2,42.03,0.62,40.81,30.0,طبيعي
2026-07-08 14:25:23,القفر,14,2,29.12,0.16,55.07,29.4,طبيعي
2026-07-08 14:27:01,فرع العدين,14,2,43.18,1.08,45.57,30.7,طبيعي
2026-07-08 14:28:46,جبلة,14,2,28.73,0.52,43.6,28.1,طبيعي
2026-07-08 14:53:29,حبيش,14,2,25.43,0.63,56.42,28.7,طبيعي
2026-07-08 15:20:52,النادرة,15,2,41.91,0.08,53.68,28.8,طبيعي
2026-07-08 15:39:53,حبيش,15,2,37.17,0.29,33.15,29.0,طبيعي
2026-07-08 15:42:52,الشعر,15,2,37.43,0.22,25.55,26.9,طبيعي
2026-07-08 16:11:34,السدة,16,2,49.06,0.72,40.61,23.7,طبيعي
2026-07-08 16:43:46,العدين,16,2,16.11,0.66,33.9,18.5,طبيعي
2026-07-08 16:49:01,القفر,16,2,32.62,0.83,34.57,17.1,طبيعي
2026-07-08 16:50:56,فرع العدين,16,2,45.58,1.11,23.27,21.3,طبيعي
2026-07-08 17:20:56,النادرة,17,2,21.46,0.25,49.93,23.1,طبيعي
2026-07-08 17:24:02,حزم العدين,17,2,31.19,0.9,34.76,21.2,طبيعي
2026-07-08 17:55:45,بعدان,17,2,41.24,0.04,53.78,21.9,طبيعي
2026-07-08 18:07:37,حبيش,18,2,116.92,2.32,88.39,20.3,ازدحام (ذروة المساء)
2026-07-08 18:17:13,السبرة,18,2,101.98,4.12,89.58,17.1,ازدحام (ذروة المساء)
2026-07-08 18:34:46,النادرة,18,2,137.96,3.04,94.08,18.6,ازدحام (ذروة المساء)
2026-07-08 18:38:44,فرع العدين,18,2,102.76,1.99,91.04,22.5,ازدحام (ذروة المساء)
2026-07-08 19:02:05,جبلة,19,2,123.03,4.27,91.98,17.4,ازدحام (ذروة المساء)
2026-07-08 19:16:16,حبيش,19,2,175.08,1.31,91.83,18.7,ازدحام (ذروة المساء)
2026-07-08 19:40:37,ذي السفال,19,2,131.04,4.44,92.34,15.8,ازدحام (ذروة المساء)
2026-07-08 19:41:21,جبلة,19,2,90.53,4.41,97.84,20.8,ازدحام (ذروة المساء)
2026-07-08 20:15:41,حبيش,20,2,145.68,3.0,98.01,21.7,ازدحام (ذروة المساء)
2026-07-08 20:18:41,القفر,20,2,161.1,1.7,98.55,17.1,ازدحام (ذروة المساء)
2026-07-08 20:26:50,القفر,20,2,118.86,3.03,93.55,16.1,ازدحام (ذروة المساء)
2026-07-08 20:44:43,النادرة,20,2,126.92,2.59,93.31,18.2,ازدحام (ذروة المساء)
2026-07-08 20:46:43,يريم,20,2,170.99,1.89,89.51,24.9,ازدحام (ذروة المساء)
2026-07-08 20:54:57,السبرة,20,2,150.61,3.78,91.62,16.2,ازدحام (ذروة المساء)
2026-07-08 22:00:17,العدين,22,2,102.43,3.56,98.51,23.3,ازدحام (ذروة المساء)
2026-07-08 22:24:48,القفر,22,2,162.16,1.17,97.97,18.8,ازدحام (ذروة المساء)
2026-07-08 22:28:10,الرضمة,22,2,106.37,1.57,87.82,23.0,ازدحام (ذروة المساء)
2026-07-08 22:30:53,حزم العدين,22,2,177.72,2.37,90.02,20.2,ازدحام (ذروة المساء)
2026-07-08 22:41:07,بعدان,22,2,152.41,2.89,97.6,22.1,ازدحام (ذروة المساء)
2026-07-08 22:45:39,المركز (المشنة والظهار),22,2,128.39,2.9,97.59,17.3,ازدحام (ذروة المساء)
2026-07-08 23:14:36,بعدان,23,2,152.77,2.17,98.16,16.2,ازدحام (ذروة المساء)
2026-07-08 23:56:11,فرع العدين,23,2,362.86,20.02,91.94,23.8,عطل (قطع كابل/برج منفصل)
2026-07-09 00:31:40,المركز (المشنة والظهار),0,3,166.25,4.07,92.98,15.3,ازدحام (ذروة المساء)
2026-07-09 01:26:10,حبيش,1,3,135.7,3.11,90.3,20.4,ازدحام (ذروة المساء)
